times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
1980.00000000,17.36778627,10.81711607,5.75239081,4.62168800,0.00000000,0.00000000
2010.00000000,20.78076033,10.86093919,6.34744043,5.21919534,0.00000000,0.00000000
2040.00000000,21.16695538,8.63075895,7.46257328,4.98397432,0.00000000,0.00000000
2070.00000000,18.32375507,9.28439551,7.62889245,3.59026461,0.00000000,0.00000000
2100.00000000,21.17097069,10.56645636,7.02566723,3.34065862,0.00000000,0.00000000
2130.00000000,19.29792735,12.87982919,7.17565328,3.03315018,0.00000000,0.00000000
2160.00000000,17.85049019,12.96302434,7.87464285,3.64005494,0.00000000,0.00000000
2190.00000000,20.26425424,13.26989073,9.30591210,3.73630834,0.00000000,0.00000000
2220.00000000,17.43244102,14.24394608,8.86340792,3.34813381,0.00000000,0.00000000
2250.00000000,11.76435294,14.79324170,6.30000000,2.33452351,0.00000000,0.00000000
2280.00000000,9.58331884,13.86686699,7.25327512,4.63573079,0.00000000,0.00000000
2310.00000000,13.50592463,12.86273688,5.27730992,2.60959767,0.00000000,0.00000000
2340.00000000,15.17926217,10.03792807,4.67332858,3.90384426,0.00000000,0.00000000
2370.00000000,16.25299972,13.14572174,5.53624421,3.37045991,0.00000000,0.00000000
2400.00000000,14.77464044,14.96028075,5.54616985,4.40000000,0.00000000,0.00000000
2430.00000000,14.09397034,17.15925406,5.67097875,5.06063237,0.00000000,0.00000000
2460.00000000,12.92284798,18.77897761,7.29109045,5.50363516,0.00000000,0.00000000
2490.00000000,11.00409015,20.31772625,7.95989950,5.18555686,0.00000000,0.00000000
2520.00000000,9.88382517,19.58673020,6.37495098,4.85798312,0.00000000,0.00000000
2550.00000000,7.33484833,18.15185941,6.69029147,4.38292140,0.00000000,0.00000000
2580.00000000,12.58729518,19.98524456,5.70000000,3.50570963,0.00000000,0.00000000
2610.00000000,15.04127654,19.66240067,10.35181144,3.21869539,0.00000000,0.00000000
2640.00000000,15.65758602,18.10635248,10.50904372,4.71593045,0.00000000,0.00000000
2670.00000000,11.83384975,16.85259624,10.33489236,5.71751694,0.00000000,0.00000000
2700.00000000,12.29634092,14.28320692,11.73712060,5.66480362,0.00000000,0.00000000
2730.00000000,15.20000000,13.29059818,12.46595363,5.27351875,0.00000000,0.00000000
2760.00000000,13.36562756,16.72154299,13.36749790,4.63573079,0.00000000,0.00000000
2790.00000000,9.74935895,14.79188967,12.15771360,5.28772163,0.00000000,0.00000000
2820.00000000,14.28845688,18.69786084,9.67729301,4.55631430,0.00000000,0.00000000
2850.00000000,15.66524816,16.02529251,9.15204895,5.21919534,0.00000000,0.00000000
2880.00000000,13.31502910,17.46682570,9.14385039,6.75943785,0.00000000,0.00000000
2910.00000000,14.48481964,14.99199787,9.28924109,3.60555128,0.00000000,0.00000000
2940.00000000,16.20987353,17.69208863,13.92874725,5.49545267,0.00000000,0.00000000
2970.00000000,14.45025951,17.20000000,14.54269576,5.10783712,0.00000000,0.00000000
3000.00000000,19.17915535,16.44414790,14.09113196,6.32534584,0.00000000,0.00000000
3030.00000000,14.84452761,16.30368057,16.10589954,5.78013841,0.00000000,0.00000000
3060.00000000,14.72446943,17.93571855,10.91833321,4.39203825,0.00000000,0.00000000
