times, G0G1_phase_std, S_phase_std, G2M_phase_std, apoptotic_std, necrotic_std
1860.00000000,31.51444113,38.73551342,40.01612175,8.03990050,0.00000000
1890.00000000,39.45997973,38.41562182,37.04807687,8.34026378,0.00000000
1920.00000000,47.48989366,34.25915936,30.82466545,8.39344983,0.00000000
1950.00000000,37.64425587,33.10000000,33.92771728,8.35224521,0.00000000
1980.00000000,34.28702378,36.89566370,27.57698316,9.15478017,0.00000000
2010.00000000,34.05128485,36.85050882,29.78925981,8.01249025,0.00000000
2040.00000000,38.39856768,33.36525139,23.99499948,8.42377588,0.00000000
2070.00000000,40.76039745,36.95199589,26.90724809,8.37615664,0.00000000
2100.00000000,58.92036999,24.94072974,18.29863383,8.90000000,0.00000000
2130.00000000,58.55125959,22.45796073,22.99152018,7.31368580,0.00000000
2160.00000000,51.43384100,24.65136913,23.80756182,6.00333241,0.00000000
2190.00000000,48.51226649,28.27737612,23.54994692,7.36274405,0.00000000
2220.00000000,47.24870369,29.97415553,18.61209284,8.07217443,0.00000000
2250.00000000,37.70159148,32.31779695,29.52371928,7.97245257,0.00000000
2280.00000000,40.02611647,27.31300057,20.94850830,7.54983444,0.00000000
2310.00000000,37.06332419,31.68737919,28.53786958,7.85429819,0.00000000
2340.00000000,46.81666370,32.75988400,31.41798848,5.96992462,0.00000000
2370.00000000,47.17721908,31.52284886,30.78652303,8.18596360,0.00000000
2400.00000000,45.32593077,43.11844153,28.63634055,7.97245257,0.00000000
2430.00000000,47.51378747,52.97018029,24.47365931,8.22739327,0.00000000
2460.00000000,45.59210458,45.42290171,27.04829015,9.53939201,0.00000000
2490.00000000,38.47869540,49.30932975,22.13345883,9.92169340,0.00000000
2520.00000000,39.07633555,51.99624986,26.17174048,11.22007130,0.00000000
2550.00000000,31.45234490,60.43872930,18.70294095,10.07769815,0.00000000
2580.00000000,29.17207569,55.54781724,27.62317867,10.04041832,0.00000000
2610.00000000,46.37466981,49.86180903,31.64427278,11.08557621,0.00000000
2640.00000000,45.65314885,41.53853632,32.48753607,11.16243701,0.00000000
2670.00000000,51.26802122,43.26384172,30.96271952,10.39278596,0.00000000
2700.00000000,62.51471827,38.82524952,32.22111109,9.14111591,0.00000000
2730.00000000,60.50256193,32.18633250,35.83699206,8.70689382,0.00000000
2760.00000000,69.34327653,36.78804154,36.44996571,9.85951317,0.00000000
2790.00000000,79.38009826,42.57710652,33.52372294,9.58592719,0.00000000
2820.00000000,72.70687725,32.81402139,41.67685209,9.01609672,0.00000000
2850.00000000,67.34990720,29.97999333,42.13027415,10.59056184,0.00000000
2880.00000000,59.92161547,37.83715106,39.15877935,10.71494284,0.00000000
2910.00000000,53.67643803,50.01289834,38.76351377,8.66256313,0.00000000
2940.00000000,52.81439198,49.31946877,44.96932288,7.45922248,0.00000000
2970.00000000,56.13385788,51.94699221,47.04721033,7.39526876,0.00000000
3000.00000000,56.86475182,57.32268312,40.58928430,7.24223722,0.00000000
3030.00000000,48.67812650,54.57297866,42.67657437,9.96794864,0.00000000
3060.00000000,64.89075435,52.44435146,39.66875345,9.70566845,0.00000000
3090.00000000,72.11969218,42.75979420,36.28897904,9.46625586,0.00000000
3120.00000000,61.39226336,49.96238585,38.08884351,10.02447006,0.00000000
3150.00000000,60.04798082,52.77129902,33.83134641,10.59292217,0.00000000
3180.00000000,58.92673417,46.94986688,36.52519678,11.87476316,0.00000000
3210.00000000,63.95318600,58.07452109,39.49493638,12.15072014,0.00000000
3240.00000000,76.71903284,59.30775666,38.78672453,11.23610253,0.00000000
3270.00000000,60.23321343,57.23425548,42.19194236,11.28716085,0.00000000
3300.00000000,56.62190389,50.30665960,47.03828228,10.69626103,0.00000000
3330.00000000,70.27154474,56.93548981,41.92481365,9.84327181,0.00000000
3360.00000000,90.84057463,56.70238090,42.80198594,9.91160935,0.00000000
3390.00000000,84.30355864,52.02009227,48.99030516,9.13454980,0.00000000
3420.00000000,87.26144624,52.73604081,47.69528279,9.62340896,0.00000000
3450.00000000,99.46677837,58.67060593,47.48936723,9.54410813,0.00000000
3480.00000000,91.81917011,70.66229546,44.28193763,10.75220908,0.00000000
3510.00000000,87.82283302,73.26690931,52.21340824,10.28056419,0.00000000
3540.00000000,112.43682671,73.62207549,45.33254901,9.77752525,0.00000000
3570.00000000,118.52970092,78.28818557,48.21255023,6.93108938,0.00000000
3600.00000000,128.78544172,85.06468127,50.30347900,10.07025322,0.00000000
