times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
2160.00000000,14.14248917,11.54166366,8.45221864,2.97489496,0.00000000,0.00000000
2190.00000000,15.74039390,11.65504183,7.18957579,3.31813200,0.00000000,0.00000000
2220.00000000,15.04526504,10.29805807,8.78009112,1.49666295,0.00000000,0.00000000
2250.00000000,15.52546296,12.95530779,9.93780660,2.87054002,0.00000000,0.00000000
2280.00000000,16.84903558,13.84340998,8.42377588,3.48711915,0.00000000,0.00000000
2310.00000000,15.43891188,13.06904740,8.85945822,1.56524758,0.00000000,0.00000000
2340.00000000,16.78243129,14.23938201,9.10164820,4.59238500,0.00000000,0.00000000
2370.00000000,18.61827060,14.31782106,9.86154146,4.44522215,0.00000000,0.00000000
2400.00000000,12.32112008,16.86683136,6.40000000,3.08058436,0.00000000,0.00000000
2430.00000000,11.86633895,17.28467529,7.95550124,3.25576412,0.00000000,0.00000000
2460.00000000,12.66333289,16.64962462,9.11098238,4.34050688,0.00000000,0.00000000
2490.00000000,13.38245120,18.38368842,6.71490879,5.70613705,0.00000000,0.00000000
2520.00000000,18.17800869,16.66733332,9.19565115,3.08058436,0.00000000,0.00000000
2550.00000000,15.64768353,16.94963126,9.40691235,3.87814389,0.00000000,0.00000000
2580.00000000,16.35114675,17.59232787,9.02441134,4.09389790,0.00000000,0.00000000
2610.00000000,17.60681686,19.36904747,9.21357694,4.83838816,0.00000000,0.00000000
2640.00000000,14.83913744,16.02654049,7.76144316,4.66476152,0.00000000,0.00000000
2670.00000000,14.55644187,17.95550055,8.63770803,4.23792402,0.00000000,0.00000000
2700.00000000,15.38863217,17.94881612,7.97746827,4.03608721,0.00000000,0.00000000
2730.00000000,15.40908823,20.23462379,6.66708332,3.94461658,0.00000000,0.00000000
2760.00000000,18.56367421,20.29285589,8.35523788,4.42718872,0.00000000,0.00000000
2790.00000000,16.18177988,23.86817965,5.08822169,3.25576412,0.00000000,0.00000000
2820.00000000,16.77170236,24.56745815,3.80657326,4.69467784,0.00000000,0.00000000
2850.00000000,17.62980431,25.93144809,5.51452627,5.45527268,0.00000000,0.00000000
2880.00000000,15.42238633,27.08135890,8.24378554,3.23882695,0.00000000,0.00000000
2910.00000000,17.31935334,26.21144788,8.88875694,3.28785644,0.00000000,0.00000000
2940.00000000,20.76752272,28.94149271,8.71148667,4.22965720,0.00000000,0.00000000
2970.00000000,16.64962462,26.78227025,7.54983444,4.92848861,0.00000000,0.00000000
3000.00000000,9.79846927,24.06574329,11.09053651,3.78021163,0.00000000,0.00000000
3030.00000000,10.33876201,17.76766726,15.63457706,5.56417110,0.00000000,0.00000000
3060.00000000,10.05435229,15.00966355,14.02711660,5.64269439,0.00000000,0.00000000
3090.00000000,12.70275561,15.03628944,12.54950198,4.31740663,0.00000000,0.00000000
3120.00000000,14.77464044,13.58712626,14.43606595,6.23297682,0.00000000,0.00000000
3150.00000000,15.50612782,12.72202814,15.80537883,7.38985791,0.00000000,0.00000000
3180.00000000,16.50575657,14.74754217,16.50484777,6.82934843,0.00000000,0.00000000
3210.00000000,21.36726468,15.47126368,16.80148803,4.29068759,0.00000000,0.00000000
3240.00000000,22.11334439,17.17003203,15.86946754,4.60000000,0.00000000,0.00000000
3270.00000000,17.90083797,21.82200724,15.05191018,4.30000000,0.00000000,0.00000000
3300.00000000,17.68869696,23.96685211,14.54682096,6.00083328,0.00000000,0.00000000
3330.00000000,17.03995305,23.22154172,17.57299064,4.99599840,0.00000000,0.00000000
3360.00000000,17.44247689,23.21745033,15.12117720,6.31189354,0.00000000,0.00000000
3390.00000000,18.59811818,27.09538706,14.99333185,6.76461381,0.00000000,0.00000000
3420.00000000,24.29073898,24.46630336,15.71782428,6.68131724,0.00000000,0.00000000
3450.00000000,26.20686933,26.44257930,15.00966355,6.65206735,0.00000000,0.00000000
3480.00000000,29.65484783,29.15544546,12.01707119,6.23217458,0.00000000,0.00000000
3510.00000000,33.39461034,25.11573212,16.43289384,5.53534100,0.00000000,0.00000000
3540.00000000,29.12799341,26.39242316,15.23811012,5.86600375,0.00000000,0.00000000
3570.00000000,24.14870597,26.19713725,16.31716887,8.90168523,0.00000000,0.00000000
3600.00000000,23.23359636,27.65158223,17.02351315,9.00499861,0.00000000,0.00000000
