times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
2820.00000000,19.55095906,15.47255635,4.73708771,5.78705452,2.89827535,0.00000000
2850.00000000,21.42335175,19.22082204,5.20480547,6.66708332,2.93257566,0.00000000
2880.00000000,20.55626425,20.79447042,7.77495981,5.45527268,2.48193473,0.00000000
2910.00000000,23.14649001,20.60000000,5.74891294,4.34165867,2.50798724,0.00000000
2940.00000000,18.76592657,22.53796797,5.89915248,5.96657356,1.90000000,0.00000000
2970.00000000,20.80288442,19.53048899,7.96241169,5.92030405,2.61533937,0.00000000
3000.00000000,16.23699480,19.48948434,9.55458005,4.81248377,2.74954542,0.00000000
3030.00000000,16.52906531,20.07087442,9.97045636,2.75862284,3.16859590,0.00000000
3060.00000000,14.73261688,19.71522255,12.39395014,3.46410162,3.21869539,0.00000000
3090.00000000,16.11365880,21.57985171,7.86447710,5.21919534,3.44818793,0.00000000
3120.00000000,18.00666543,21.07225664,7.40270221,4.40908154,3.68239053,0.00000000
3150.00000000,19.07485256,24.11721377,8.84590301,5.00399840,3.25729949,0.00000000
3180.00000000,20.23487089,27.48981630,7.82048592,4.81663783,3.32264955,0.00000000
3210.00000000,18.99578901,28.97671479,9.15478017,4.38634244,4.26614580,0.00000000
3240.00000000,20.40318603,29.04754723,12.15072014,6.15548536,4.19046537,0.00000000
3270.00000000,24.31234254,31.13454673,11.94989540,4.02988834,4.16653333,0.00000000
3300.00000000,25.16267076,29.09226701,12.62101422,6.04069532,4.44522215,0.00000000
3330.00000000,22.86241457,30.96594904,13.14115672,5.55787729,4.81248377,0.00000000
3360.00000000,23.72003373,32.88175786,10.32666451,4.71274867,4.67867503,0.00000000
3390.00000000,19.11648503,31.30191687,10.68877916,7.47596148,4.40454311,0.00000000
3420.00000000,19.96396754,31.06187374,10.65082156,6.27375486,4.20594817,0.00000000
3450.00000000,21.30164313,33.80547293,10.63202709,8.32406151,3.00166620,0.00000000
3480.00000000,20.66010649,34.88495378,9.88382517,6.98283610,2.90000000,0.00000000
3510.00000000,22.73851358,33.81419820,8.88200428,5.61782876,2.85657137,0.00000000
3540.00000000,19.49461464,34.40290685,7.47060908,5.52810998,3.63868108,0.00000000
3570.00000000,20.01999001,33.38277999,10.57780696,7.47596148,3.82230297,0.00000000
3600.00000000,19.89497424,34.37208169,14.03709372,7.19791637,4.37721373,0.00000000
